opinion,user_description,review
Opinión sobre BBVA,"Penoso BBVA. Con nómina con ellos de 2500 euros al mes pretenden cobrarme 40 euros al año por la tarjeta de crédito. No tienen vergüenza. Ahí se quedaron, ahora en ING sin comisiones de ningún tipo. Sinvergüenzas, así tratáis a los clientes que han confiado en vosotros, ****. Nunca más BBVA.",1.0
Opinión sobre BBVA,"Oficina pésima, me hicieron un gracias de y en vez de ayudar y darme una solución, todo lo contrario, cada día me lo complican más. Llevo 4 meses intentando que me devuelvan mi dinero y no es poco. Les pides documentos porque la guardia civil la piden para poder seguir con la denuncia y se niegan a dartela. 
Me han bloqueado las cuentas y para colmo me lo niegan. 
Oficina cómo está no merece estar abiertas",1.0
Opinión sobre BBVA,"Llevo desde el años 2013 trabaja do con BBVA, jamás me habían tratado con tanto pasotismo e indiferencia, te quejas en el correo electrónico del defensor del cliente del banco y solo se limita a decir que se le escriba por correo postal, hoy en día todo es telemático y este señor me dice q le escriba lo mismo que en el mail por correo postal, entiendo que será para demorarlo en el tiempo. Les he cancelado ya dos cuentas y en breve y desde que pueda cancelo las tres cuentas restantes.. por parte",1.0
Opinión sobre BBVA,"Mi opinión es concretamente para una gestora: ****. Tras hacer el estudio de un préstamo personal, para el cual nos pidió hasta el peso y la altura, nos salió denegado porque lo presentó para un vehículo cuando, repito, era préstamo personal. Además nos dijo que seguíamos en situación de ERTE y ya hacía dos meses que nos habíamos recolocado a nuestros habituales puestos de trabajo. Nada de lo que hizo/dijo tiene sentido. PÉSIMO",1.0
Opinión sobre BBVA,Por que obligan a poner alguna estrella pero lo suyo seria poner menos estrellas. El peor banco que puede haber en el planeta. Hace lo que le da la gana y cambia las normas cuando quiere. Es pesimo no lo siguiente,1.0
Opinión sobre BBVA,"El servicio de atención al cliente es pésimo.
Tienen un horario de atención en caja de 8,30 a 11 horas, pero no es verdad, he ido a hacer un ingreso a las 10,30 y me han dicho que sólo se puede hacer en el cajero.",1.0
Opinión sobre Tarjeta Antes,"Servicio de atención al cliente inexistente.  BBVA no devuelve las llamadas ni da explicaciones sobre el porqué de las comisiones. 
BBVA puede modificar las condiciones del contrato unilateralmente.",1.0
Opinión sobre BBVA,"Toados los bancos malos,pero el peor BBVA",1.0
Opinión sobre BBVA,No existe esta Oficina en ****,1.0
Opinión sobre BBVA,Para ser los que llevan la liquidación dec famsa mi experiencia sin ser cliente pésima un **** hablo me dicen que esta cerrada en internet hablo x tel.me dicen que esta;abierto voy y esta cerrado hablox tel me dicen que para abrir cuenta solo identificacion oficial voy a sucursal me dicen que ocupo un recibo de servicios con direccion cuando llevo el IFE y ahi viene direccion todo por depositar el cheque de liquidacion de banco famsa que vaya hasta traija recibo de servicio de la dirección,1.0
